,eco_code,opening
142,B42,"Sicilian, Kan, 5.Bd3"
143,B43,"Sicilian, Kan, 5.Nc3"
144,B44,Sicilian defence
145,B45,"Sicilian, Taimanov variation"
146,B46,"Sicilian, Taimanov variation"
147,B47,"Sicilian, Taimanov (Bastrikov) variation"
148,B48,"Sicilian, Taimanov variation"
149,B49,"Sicilian, Taimanov variation"
150,B50,Sicilian
151,B51,"Sicilian, Canal-Sokolsky attack"
152,B52,"Sicilian, Canal-Sokolsky attack, 3...Bd7"
153,B53,"Sicilian, Chekhover variation"
154,B54,Sicilian
155,B55,"Sicilian, Prins variation, Venice attack"
156,B56,Sicilian
157,B57,"Sicilian, Sozin (not Scheveningen) including Magnus Smith Trap"
158,B58,"Sicilian, Classical"
159,B59,"Sicilian, Boleslavsky variation, 7.Nb3"
160,B60,"Sicilian, Richter-Rauzer"
161,B61,"Sicilian, Richter-Rauzer, Larsen variation, 7.Qd2"
162,B62,"Sicilian, Richter-Rauzer, 6...e6"
163,B63,"Sicilian, Richter-Rauzer, Rauzer attack"
164,B64,"Sicilian, Richter-Rauzer, Rauzer attack, 7...Be7 defence, 9.f4"
165,B65,"Sicilian, Richter-Rauzer, Rauzer attack, 7...Be7 defence, 9...Nxd4"
166,B66,"Sicilian, Richter-Rauzer, Rauzer attack, 7...a6"
167,B67,"Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 8...Bd7"
168,B68,"Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 9...Be7"
169,B69,"Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 11.Bxf6"
170,B70,"Sicilian, Dragon variation"
171,B71,"Sicilian, Dragon, Levenfish variation"
172,B72,"Sicilian, Dragon, 6.Be3"
173,B73,"Sicilian, Dragon, Classical, 8.O-O"
174,B74,"Sicilian, Dragon, Classical, 9.Nb3"
175,B75,"Sicilian, Dragon, Yugoslav attack"
176,B76,"Sicilian, Dragon, Yugoslav attack, 7...O-O"
177,B77,"Sicilian, Dragon, Yugoslav attack, 9.Bc4"
178,B78,"Sicilian, Dragon, Yugoslav attack, 10.O-O-O"
179,B79,"Sicilian, Dragon, Yugoslav attack, 12.h4"
180,B80,"Sicilian Defence, Scheveningen Variation"
181,B81,"Sicilian, Scheveningen, Keres attack"
182,B82,"Sicilian, Scheveningen, 6.f4"
183,B83,"Sicilian, Scheveningen, 6.Be2"
184,B84,"Sicilian, Scheveningen (Paulsen), Classical variation"
185,B85,"Sicilian, Scheveningen, Classical variation with ...Qc7 and ...Nc6"
186,B86,"Sicilian, Sozin attack"
187,B87,Sozin with ...a6 and ...b5
188,B88,"Sicilian, Sozin, Leonhardt variation"
189,B89,"Sicilian, Sozin, 7.Be3"
190,B90,"Sicilian, Najdorf"
191,B91,"Sicilian, Najdorf, Zagreb (Fianchetto) variation (6.g3)"
192,B92,"Sicilian, Najdorf, Opocensky variation (6.Be2)"
193,B93,"Sicilian, Najdorf, 6.f4"
194,B94,"Sicilian, Najdorf, 6.Bg5"
195,B95,"Sicilian, Najdorf, 6...e6"
196,B96,"Sicilian, Najdorf, 7.f4"
197,B97,"Sicilian, Najdorf, 7...Qb6 including Poisoned Pawn Variation"
198,B98,"Sicilian, Najdorf, 7...Be7"
199,B99,"Sicilian, Najdorf, 7...Be7 Main line"
200,C00,French Defence
201,C01,"French, Exchange Variation, Kingston Defence"
202,C02,"French, Advance Variation"
203,C03,"French, Tarrasch"
204,C04,"French, Tarrasch, Guimard Main line"
205,C05,"French, Tarrasch, Closed Variation"
206,C06,"French, Tarrasch, Closed Variation, Main line"
207,C07,"French, Tarrasch, Open Variation"
208,C08,"French, Tarrasch, Open, 4.exd5 exd5"
209,C09,"French, Tarrasch, Open Variation, Main line"
210,C10,"French, Paulsen Variation"
211,C11,French Defence
212,C12,"French, MacCutcheon Variation"
213,C13,"French, Classical"
214,C14,"French, Classical Variation"
215,C15,"French, Winawer (Nimzovich) Variation"
216,C16,"French, Winawer, Advance Variation"
217,C17,"French, Winawer, Advance Variation"
218,C18,"French, Winawer, Advance Variation"
219,C19,"French, Winawer, Advance, 6...Ne7"
220,C20,"King's Pawn Game (includes Alapin's Opening, Lopez Opening, Napoleon Opening, Portuguese Opening and Parham Attack)"
221,C21,Center Game (includes Danish Gambit)
222,C22,Center Game
223,C23,Bishop's Opening
224,C24,"Bishop's Opening, Berlin Defence"
225,C25,Vienna Game
226,C26,"Vienna Game, Falkbeer Variation"
227,C27,"Vienna Game, Frankenstein-Dracula Variation"
228,C28,Vienna Game
229,C29,"Vienna Gambit, Kaufmann Variation including Würzburger Trap"
230,C30,King's Gambit
231,C31,"King's Gambit Declined, Falkbeer Countergambit"
232,C32,"King's Gambit Declined, Falkbeer, 5. dxe4"
233,C33,King's Gambit Accepted
234,C34,"King's Gambit Accepted, including Fischer Defence"
235,C35,"King's Gambit Accepted, Cunningham Defence"
236,C36,"King's Gambit Accepted, Abbazia Defence (Classical Defence, Modern Defence)"
237,C37,"King's Gambit Accepted, Quaade Gambit"
238,C38,King's Gambit Accepted
239,C39,"KGA, Allagier & Kiesertisky Gambits including Rice Gambit"
240,C40,"King's Knight Opening (includes Gunderam Defence, Greco Defence, Damiano Defence, Elephant Gambit, and Latvian Gambit.)"
241,C41,Philidor Defence
242,C42,"Petrov's Defence, including Marshall Trap"
243,C43,"Petrov's Defence, Modern (Steinitz) Attack"
244,C44,"King's Pawn Game (includes Ponziani Opening, Inverted Hungarian Opening, Irish Gambit, Konstantinopolsky Opening and some Scotch Game)"
245,C45,Scotch Game
246,C46,Three Knights Game including Müller-Schulze Gambit or Halloween Attack
247,C47,"Four Knights Game, Scotch Variation"
248,C48,"Four Knights Game, Spanish Variation"
249,C49,"Four Knights Game, Double Ruy Lopez"
250,C50,"King's Pawn Game (includes Blackburne Shilling Gambit, Hungarian Defence, Italian Gambit, Légal Trap, Rousseau Gambit and Giuoco Pianissimo)"
251,C51,Evans Gambit
252,C52,Evans Gambit with 4...Bxb4 5.c3 Ba5
253,C53,Giuoco Piano
254,C54,Giuoco Piano
255,C55,Two Knights Defence
256,C56,Two Knights Defence
257,C57,"Two Knights Defence, including the Fried Liver Attack"
258,C58,Two Knights Defence
259,C59,Two Knights Defence
260,C60,Ruy Lopez
261,C61,"Ruy Lopez, Bird's Defence"
262,C62,"Ruy Lopez, Old Steinitz Defence"
263,C63,"Ruy Lopez, Schliemann Defence"
264,C64,"Ruy Lopez, Classical (Cordel) Defence"
265,C65,"Ruy Lopez, Berlin Defence including Mortimer Trap"
266,C66,"Ruy Lopez, Berlin Defence, 4.O-O, d6"
267,C67,"Ruy Lopez, Berlin Defence, Open variation"
268,C68,"Ruy Lopez, Exchange Variation"
269,C69,"Ruy Lopez, Exchange Variation, 5.O-O"
270,C70,Ruy Lopez
271,C71,"Ruy Lopez, Modern Steinitz Defence including Noah's Ark Trap"
272,C72,"Ruy Lopez, Modern Steinitz Defence 5.0-0"
273,C73,"Ruy Lopez, Modern Steinitz Defence, Richter variation"
274,C74,"Ruy Lopez, Modern Steinitz Defence"
275,C75,"Ruy Lopez, Modern Steinitz Defence"
276,C76,"Ruy Lopez, Modern Steinitz Defence, Fianchetto (Bronstein) variation"
277,C77,"Ruy Lopez, Morphy Defence"
278,C78,"Ruy Lopez, 5.O-O"
279,C79,"Ruy Lopez, Steinitz Defence Deferred (Russian Defence)"
280,C80,"Ruy Lopez, Open (Tarrasch) Defence"
281,C81,"Ruy Lopez, Open, Howell Attack"
282,C82,"Ruy Lopez, Open, 9.c3"
283,C83,"Ruy Lopez, Open, Classical Defence"
284,C84,"Ruy Lopez, Closed Defence"
285,C85,"Ruy Lopez, Exchange Variation Doubly Deferred (DERLD)"
286,C86,"Ruy Lopez, Worrall Attack"
287,C87,"Ruy Lopez, Closed, Averbach Variation"
288,C88,"Ruy Lopez, Closed"
289,C89,"Ruy Lopez, Marshall Counterattack"
290,C90,"Ruy Lopez, Closed (with ...d6)"
291,C91,"Ruy Lopez, Closed, 9.d4"
292,C92,"Ruy Lopez, Closed, 9.h3"
293,C93,"Ruy Lopez, Closed, Smyslov Defence"
294,C94,"Ruy Lopez, Closed, Breyer Defence"
295,C95,"Ruy Lopez, Closed, Breyer, 10.d4"
296,C96,"Ruy Lopez, Closed, 8...Na5"
297,C97,"Ruy Lopez, Closed, Chigorin Defence"
298,C98,"Ruy Lopez, Closed, Chigorin, 12...Nc6"
299,C99,"Ruy Lopez, Closed, Chigorin, 12...c5d4"
300,D00,"Queen's Pawn Game (including Blackmar-Diemer Gambit, Halosar Trap and others)"
301,D01,Richter-Veresov Attack
302,D02,"Queen's Pawn Game, 2. Nf3"
303,D03,"Torre Attack, Tartakower variation"
304,D04,Queen's Pawn Game
305,D05,"Queen's Pawn Game, Zukertort variation (including Colle system)"
306,D06,"Queen's Gambit (including the Baltic Defence, Marshall Defence and Symmetrical Defence)"
307,D07,QGD; Chigorin defence
308,D08,QGD; Albin Countergambit and Lasker Trap
309,D09,"QGD; Albin Countergambit, 5.g3"
310,D10,QGD; Slav Defence
311,D11,"QGD; Slav defence, 3.Nf3"
312,D12,"QGD; Slav defence, 4.e3 Bf5"
313,D13,"QGD; Slav defence, Exchange variation"
314,D14,"QGD; Slav defence, Exchange variation"
315,D15,"QGD; Slav, 4.Nc3"
316,D16,"QGD; Slav accepted, Alapin variation"
317,D17,"QGD; Slav defence, Czech defence"
318,D18,QGD; Dutch variation
319,D19,QGD; Dutch variation
320,D20,Queen's Gambit Accepted
321,D21,"QGA, 3.Nf3"
322,D22,QGA; Alekhine defence
323,D23,Queen's gambit accepted
324,D24,"QGA, 4.Nc3"
325,D25,"QGA, 4.e3"
326,D26,QGA; classical variation
327,D27,QGA; classical variation
328,D28,QGA; Classical variation 7.Qe2
329,D29,QGA; Classical variation 8...Bb7
330,D30,Queen's Gambit Declined
331,D31,"QGD, 3.Nc3"
332,D32,QGD; Tarrasch Defence
333,D33,"QGD; Tarrasch, Schlechter-Rubinstein system"
334,D34,"QGD; Tarrasch, 7...Be7"
335,D35,QGD; Exchange Variation
336,D36,"QGD; Exchange, positional line, 6.Qc2"
337,D37,QGD; 4.Nf3
338,D38,QGD; Ragozin variation
339,D39,"QGD; Ragozin, Vienna variation"
340,D40,QGD; Semi-Tarrasch defence
341,D41,"QGD; Semi-Tarrasch, 5.cd"
342,D42,"QGD; Semi-Tarrasch, 7.Bd3"
343,D43,QGD; Semi-Slav Defence
344,D44,QGD; Semi-Slav 5.Bg5 dxc4
345,D45,QGD; Semi-Slav 5.e3
346,D46,QGD; Semi-Slav 6.Bd3
347,D47,QGD; Semi-Slav 7.Bc4
348,D48,"QGD; Meran, 8...a6"
349,D49,"QGD; Meran, 11.Nxb5"
350,D50,QGD; 4.Bg5
351,D51,QGD; 4.Bg5 Nbd7 (Cambridge Springs Defence and Elephant Trap)
352,D52,QGD
353,D53,QGD; 4.Bg5 Be7
354,D54,QGD; Anti-neo-Orthodox variation
355,D55,QGD; 6.Nf3
356,D56,QGD; Lasker defence
357,D57,"QGD; Lasker defence, Main line"
358,D58,QGD; Tartakower (Makagonov-Bondarevsky) system
359,D59,"QGD; Tartakower (Makagonov-Bondarevsky) system, 8.cd Nxd5"
360,D60,QGD; Orthodox defence
361,D61,"QGD; Orthodox defence, Rubinstein variation"
362,D62,"QGD; Orthodox defence, 7.Qc2 c5, 8.cd (Rubinstein)"
363,D63,"QGD; Orthodox defence, 7.Rc1"
364,D64,"QGD; Orthodox defence, Rubinstein attack (with Rc1)"
365,D65,"QGD; Orthodox defence, Rubinstein attack, Main line"
366,D66,"QGD; Orthodox defence, Bd3 line including Rubinstein Trap"
367,D67,"QGD; Orthodox defence, Bd3 line, Capablanca freeing manoeuver"
368,D68,"QGD; Orthodox defence, Classical variation"
369,D69,"QGD; Orthodox defence, Classical, 13.dxe5"
370,D70,Neo-Grünfeld Defence
371,D71,"Neo-Grünfeld, 5.cd"
372,D72,"Neo-Grünfeld, 5.cd, Main line"
373,D73,"Neo-Grünfeld, 5.Nf3"
374,D74,"Neo-Grünfeld, 6.cd Nxd5, 7.O-O"
375,D75,"Neo-Grünfeld, 6.cd Nxd5, 7.O-O c5, 8.Nc3"
376,D76,"Neo-Grünfeld, 6.cd Nxd5, 7.O-O Nb6"
377,D77,"Neo-Grünfeld, 6.O-O"
378,D78,"Neo-Grünfeld, 6.O-O c6"
379,D79,"Neo-Grünfeld, 6.O-O, Main line"
380,D80,Grünfeld Defence
381,D81,Grünfeld; Russian variation
382,D82,Grünfeld 4.Bf4
383,D83,Grünfeld gambit
384,D84,Grünfeld gambit accepted
385,D85,"Grünfeld, exchange variation, Nadanian Variation"
386,D86,"Grünfeld, Exchange, Classical variation"
387,D87,"Grünfeld, Exchange, Spassky variation"
388,D88,"Grünfeld, Spassky variation, Main line, 10...cd, 11.cd"
389,D89,"Grünfeld, Spassky variation, Main line, 13.Bd3"
390,D90,"Grünfeld, Three knights variation"
391,D91,"Grünfeld, Three knights variation"
392,D92,"Grünfeld, 5.Bf4"
393,D93,Grünfeld with 5.Bf4 O-O 6.e3
394,D94,"Grünfeld, 5.e3"
395,D95,Grünfeld with 5.e3 O-O 6.Qb3
396,D96,"Grünfeld, Russian variation"
397,D97,"Grünfeld, Russian variation with 7.e4"
398,D98,"Grünfeld, Russian, Smyslov variation"
399,D99,"Grünfeld Defence, Smyslov, Main line"
400,E00,"Queen's Pawn Game (including Neo-Indian Attack, Trompowski Attack, Catalan Opening and others)"
401,E01,"Catalan, closed"
402,E02,"Catalan, open, 5.Qa4"
403,E03,"Catalan, open, Alekhine variation"
404,E04,"Catalan, Open, 5.Nf3"
405,E05,"Catalan, Open, Classical line"
406,E06,"Catalan, Closed, 5.Nf3"
407,E07,"Catalan, Closed, 6...Nbd7"
408,E08,"Catalan, Closed, 7.Qc2"
409,E09,"Catalan, Closed, Main line"
410,E10,Queen's Pawn Game 3.Nf3
411,E11,Bogo-Indian Defence
412,E12,Queen's Indian Defence
413,E13,"Queen's Indian, 4.Nc3, Main line"
414,E14,"Queen's Indian, 4.e3"
415,E15,"Queen's Indian, 4.g3"
416,E16,"Queen's Indian, Capablanca variation"
417,E17,"Queen's Indian, 5.Bg2 Be7"
418,E18,"Queen's Indian, Old Main line, 7.Nc3"
419,E19,"Queen's Indian, Old Main line, 9.Qxc3"
420,E20,Nimzo-Indian Defence
421,E21,"Nimzo-Indian, Three knights variation"
